epoch,lr-Adam,step,train_loss,val_loss,val_sisdr
,0.001,0,,,
0,,9,0.5762600302696228,,
0,,19,0.4759339690208435,,
0,,29,0.3964289128780365,,
0,,39,0.41378462314605713,,
0,,49,0.4379591941833496,,
0,,59,0.4011506736278534,,
0,,69,0.42599067091941833,,
0,,79,0.4250431954860687,,
0,,89,0.35794222354888916,,
0,,99,0.44595474004745483,,
0,,109,0.4593817889690399,,
0,,119,0.31375882029533386,,
0,,129,0.44289594888687134,,
0,,139,0.4015926718711853,,
0,,149,0.40469154715538025,,
0,,159,0.3982117772102356,,
0,,169,0.45230624079704285,,
0,,179,0.37722933292388916,,
0,,189,0.37908023595809937,,
0,,199,0.40611714124679565,,
0,,209,0.48796865344047546,,
0,,219,0.3334696888923645,,
0,,229,0.4179781675338745,,
0,,239,0.45535409450531006,,
0,,249,0.34991610050201416,,
0,,259,0.39982783794403076,,
0,,269,0.367996484041214,,
0,,279,0.3862284719944,,
0,,289,0.36237892508506775,,
0,,299,0.3931884765625,,
0,,309,0.42180904746055603,,
0,,319,0.44333019852638245,,
0,,329,0.4160466194152832,,
0,,339,0.4069920778274536,,
0,,349,0.42067229747772217,,
0,,359,0.401740700006485,,
0,,369,0.3977368474006653,,
0,,379,0.5010741353034973,,
0,,389,0.42468705773353577,,
0,,399,0.4516448676586151,,
0,,409,0.43058380484580994,,
0,,419,0.3908175826072693,,
0,,429,0.38606759905815125,,
0,,439,0.33407503366470337,,
0,,449,0.4218950867652893,,
0,,459,0.38484394550323486,,
0,,469,0.34260237216949463,,
0,,479,0.328385591506958,,
0,,489,0.3955896198749542,,
0,,499,0.37041333317756653,,
0,,509,0.4201315641403198,,
0,,519,0.39211568236351013,,
0,,529,0.4681302607059479,,
0,,539,0.40994343161582947,,
0,,549,0.48130908608436584,,
0,,559,0.4754115045070648,,
0,,569,0.46571335196495056,,
0,,579,0.43397876620292664,,
0,,589,0.43333199620246887,,
0,,599,0.4082789719104767,,
0,,609,0.3945133686065674,,
0,,619,0.39288878440856934,,
0,,629,0.37819385528564453,,
0,,639,0.4027910828590393,,
0,,649,0.42166823148727417,,
0,,659,0.46638399362564087,,
0,,669,0.4457123279571533,,
0,,679,0.4397880733013153,,
0,,689,0.44347938895225525,,
0,,699,0.3606169819831848,,
0,,709,0.3418387472629547,,
0,,719,0.42457953095436096,,
0,,729,0.41523945331573486,,
0,,739,0.41252076625823975,,
0,,749,0.3928718864917755,,
0,,759,0.4403069019317627,,
0,,769,0.3634854853153229,,
0,,779,0.3517918884754181,,
0,,789,0.4395865797996521,,
0,,799,0.40134018659591675,,
0,,809,0.39360707998275757,,
0,,819,0.3796711266040802,,
0,,829,0.43426477909088135,,
0,,839,0.44537025690078735,,
0,,849,0.4411177933216095,,
0,,859,0.31703487038612366,,
0,,869,0.3872765004634857,,
0,,879,0.4052030146121979,,
0,,889,0.43682777881622314,,
0,,899,0.4372446537017822,,
0,,909,0.439345121383667,,
0,,919,0.4189966022968292,,
0,,929,0.41610512137413025,,
0,,939,0.42232435941696167,,
0,,949,0.40252000093460083,,
0,,959,0.4067254364490509,,
0,,969,0.42865002155303955,,
0,,979,0.3750487267971039,,
0,,989,0.452167809009552,,
0,,999,0.4354628622531891,,
0,,999,,0.40386641025543213,-22.8158016204834
,0.001,1000,,,
1,,1009,0.39251869916915894,,
1,,1019,0.35846638679504395,,
